Category,Item,Description,Qty,Unit,Have,Need,Notes
Conduit/Protection,¾in Conduit Sweep Elbow,Gradual bends in conduit runs,4,ea,,4,
Conduit/Protection,¾in Conduit LB Fitting,Access point at conduit entry to junction box,1,ea,,1,
Enclosure,Weatherproof Junction Box (12×12×6 NEMA 4X or equiv),Outdoor enclosure for all electronics,1,ea,,1,Must fit ESP32 + 5× L298N + MCP23017 + buck converter + battery
Enclosure,DIN Rail (35mm × 12in),Mounting rail inside box for boards,2,ea,,2,Optional but keeps things organized
Enclosure,DIN Rail Terminal Blocks,Screw terminals for valve wire connections,10,ea,,10,One per valve pair; much cleaner than wire nuts inside box
Enclosure,Cable Glands (PG9 or PG11),Weatherproof wire entry points into junction box,4,ea,,4,"Valve wires, solar input, sensor cables"
Enclosure,Mounting Post or Stake (for junction box),Elevates box above ground near valve manifold,1,ea,,1,"Pressure-treated 4×4 post, or mount to fence/wall"
Enclosure,Stainless Steel Mounting Screws/Bolts,Secure box to post,8,ea,,8,
Trenching/Install,Marking Paint (spray can),Mark trench lines before digging,1,ea,,1,
Trenching/Install,Landscape Staples (6in),Pin tubing and backfilled trench,50,ea,,50,
Trenching/Install,Teflon Tape (½in × 520in roll),Thread sealant for all threaded connections,2,roll,,2,
Trenching/Install,Pipe Strap / Clamps (¾in and ½in),Secure pipe in trench before backfill,20,ea,,20,
Soil Sensors,Waterproof Sensor Housing / Stake,Protect capacitive soil sensors in ground,4,ea,,4,3D-printed or PVC sleeve pushed into soil
Soil Sensors,22 AWG / 3-conductor Cable (50ft),Signal wire from each soil sensor back to junction box,4,ea,,4,~50ft per sensor run; 3 wires: VCC + GND + signal
Soil Sensors,Heat Shrink Tubing Assortment,Weatherproof solder joints on sensor leads,1,kit,,1,
